"","trap_work_first","setting_terrain","Freq"
"1","Funcionou","Ar",0
"2","Não Funcionou","Ar",1
"3","Funcionou","Caverna",4
"4","Não Funcionou","Caverna",1
"5","Funcionou","Costa",3
"6","Não Funcionou","Costa",4
"7","Funcionou","Deserto",4
"8","Não Funcionou","Deserto",3
"9","Funcionou","Espaço",1
"10","Não Funcionou","Espaço",0
"11","Funcionou","Floresta",10
"12","Não Funcionou","Floresta",9
"13","Funcionou","Ilha",4
"14","Não Funcionou","Ilha",6
"15","Funcionou","Montanha",1
"16","Não Funcionou","Montanha",1
"17","Funcionou","Neve",5
"18","Não Funcionou","Neve",7
"19","Funcionou","Oceano",3
"20","Não Funcionou","Oceano",2
"21","Funcionou","Pantâno",8
"22","Não Funcionou","Pantâno",2
"23","Funcionou","Rural",20
"24","Não Funcionou","Rural",20
"25","Funcionou","Selva",2
"26","Não Funcionou","Selva",2
"27","Funcionou","Urbano",60
"28","Não Funcionou","Urbano",66
