,level_0,index,series_name,network,season,title,imdb,engagement,date_aired,década,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country_state,suspects_amount,non_suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby_dum,scrappy_doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
1,0,1,"Scooby Doo, Where Are You!",CBS,1,What a Night for a Knight,5.6,188.45,9/13/1969,1961-1970,21,Serie,Black Knight,Male,Possessed Object,Suit,Object,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Urban,United States,2,FALSE,TRUE,Mr. Wickles,Male,1,Theft,,,FALSE,2,1,1,0,0,0,1,0,1,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
2,1,2,"Scooby Doo, Where Are You!",CBS,1,A Clue for Scooby Doo,5.8,199.58,9/20/1969,1961-1970,22,Serie,Ghost of Cptn. Cuttler,Male,Ghost,Suit,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Coast,United States,2,TRUE,TRUE,Cptn. Cuttler,Male,1,Theft,,,FALSE,1,0,0,0,0,0,0,0,3,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
3,2,3,"Scooby Doo, Where Are You!",CBS,1,Hassle in the Castle,4.3,173.24,9/27/1969,1961-1970,21,Serie,Phantom,Male,Ghost,Phantom,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Island,United States,0,TRUE,TRUE,Bluestone the Great,Male,1,Treasure,,,FALSE,3,0,0,0,0,0,0,0,1,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
4,3,4,"Scooby Doo, Where Are You!",CBS,1,Mine Your Own Business,4.9,178.03,10/4/1969,1961-1970,21,Serie,Miner 49'er,Male,Ancient,Miner,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cave,California,2,FALSE,TRUE,Hank,Male,1,Natural Resource,,,FALSE,2,1,0,0,0,0,0,0,2,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
5,4,5,"Scooby Doo, Where Are You!",CBS,1,Decoy for a Dognapper,3.6,127.86,10/11/1969,1961-1970,21,Serie,Indian Witch Doctor,Female,Ancient,Witch Doctor,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Desert,United States,1,FALSE,TRUE,Buck Master,Male,1,Competition,,,FALSE,2,0,1,0,0,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
6,5,6,"Scooby Doo, Where Are You!",CBS,1,What the Hex Going On?,4.9,162.79,10/18/1969,1961-1970,21,Serie,Ghost of Elias Kingston,Male,Ghost,Phantom,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,United States,2,FALSE,TRUE,Uncle Stuart,Male,1,Extortion,,,FALSE,4,0,0,0,1,0,0,0,2,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
7,6,7,"Scooby Doo, Where Are You!",CBS,1,Never Ape an Ape Man,5.7,161.62,10/25/1969,1961-1970,21,Serie,Ape Man,Male,Animal,Half-Human,Ape,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desert,United States,1,FALSE,TRUE,Carl,Male,1,Competition,,,FALSE,4,1,0,1,0,0,0,0,1,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
8,7,8,"Scooby Doo, Where Are You!",CBS,1,Foul Play in Funland,4.4,159.69,11/1/1969,1961-1970,21,Serie,Charlie the Robot,Male,Mechanical,Humanoid,Robot,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,United States,2,FALSE,FALSE,Sarah Jenkins,Female,1,Safety,,,TRUE,0,0,0,1,0,0,1,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
9,8,9,"Scooby Doo, Where Are You!",CBS,1,The Backstage Rage,5.8,210.07,11/8/1969,1961-1970,21,Serie,Puppet Master,Male,Ghost,Pupeteer,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Urban,United States,1,FALSE,TRUE,Mr. Pietro,Male,1,Counterfeit,,,FALSE,1,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
10,9,10,"Scooby Doo, Where Are You!",CBS,1,Bedlam in the Big Top,5.3,196.8,11/15/1969,1961-1970,21,Serie,Ghost Clown,Male,Ghost,Clown,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Forest,United States,1,TRUE,TRUE,Harry the Hypnotist,Male,1,Competition,,,FALSE,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
